id,text_norm,is_humor,humor_clip,humor_controversy,offense_clip,tok_len,char_len,is_dup_exact,is_too_short,has_ctrl_char
1883,"As an Queer parent, what's the best way to come out to your teenage children? Auntie Red Tweet Tea",1,0.7,0.0,0.35,23,98,False,False,False
6640,Walking into a fro-yo shop is probably what it's like walking into a Japanese girl's purse.,1,0.68,0.0,1.9,23,91,False,False,False
6526,"Drink plenty of water. The most common cause of kidney stones is not drinking enough fluids, especially water. kidney water",1,0.6,0.0,0.0,23,123,False,False,False
1446,Remember collect calls y'all?'Heard you walkin around town in your drawers' made me Love Is,1,0.33,0.0,0.0,23,93,False,False,False
7321,Right said Fred gets me every time! Haha. You go Deanmon now put a shirt on. What the hell?,1,0.3,0.0,0.0,23,91,False,False,False
7662,"Without fail, Instagram’s “you’re all caught up!” reminder sends deep into a dark place.",1,0.1,0.0,0.0,23,88,False,False,False
991,Remember everyone who said “we’ll have to see in the fall”? Ya that’s in 2 weeks.,1,0.27,0.0,0.0,24,81,False,False,False
798,"It's exciting that the LA Dodgers will be playing in the World Series, unless of course their pilots get picked up.",1,0.78,0.0,0.05,25,115,False,False,False
122,A parody of The Mandalorian but it’s The Mindalorian? Am I’m in the whole costume but doing Mindy-type stuff?,1,0.56,0.0,0.2,27,109,False,False,False
2422,me: hey do you have the time? my clock is wrong clock: all i'm saying is why isn't there a white panther,1,0.8,0.0,0.95,29,104,False,False,False
3657,"Apparently the scenes where ""Dean becomes a woman""..they just simply used the ""Sam"" wig. Instant chick hair. Get it?",1,0.68,0.0,0.2,29,116,False,False,False
7824,"Ah yes...the old ""glass in the face"" trick. Never gets old. Oh and once again. Dean Fight. Supernatura I",1,0.64,1.0,0.0,29,104,False,False,False
1761,I'm leaving for two week and willl not have any internet service. Get me too 1000 followers by the next two weeks and ill save relationships,1,0.45,1.0,0.15,29,140,False,False,False
7704,"My wig, prosthetics, and makeup artist cost $2,000, but with them I can roam the Pasadena Flea Market undisturbed, looking for porcelain hands",1,0.72,0.0,0.25,30,142,False,False,False
6138,And Boom...there u have it. Hope y'all enjoyed. Now I'm gonna kill the pizza company. Supernatura I SPN Family,1,0.6,0.0,0.3,30,110,False,False,False
4833,How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,1,0.18,0.0,0.1,31,138,False,False,False
2117,My buddy Kirk was the waiter...can anyone spot the real blood pouring out of his head behind his ear? Took one for the team! Thanks again!,1,0.64,0.0,0.05,33,138,False,False,False
5643,wife: Why is 9 crying? me: Because it's raining and he's getting wet wife: But we're at a water park me *takes a drink from my flask* Yep,1,0.7,0.0,0.0,40,137,False,False,False
3048,11 y/o Daughter: [opens xmas present] uh..cable ties? Wife: she asked for a pony.. Me: a pony? ..SHE CAN'T EVEN LOOK AFTER HER CABLES LINDA,1,0.68,0.0,0.0,43,139,False,False,False
4905,Twins and mama bear are napping... Time to practice my COD skills so I could stop being a burden to teams ¥º.... .....oooh I hurt my own feelings ­,1,0.79,0.0,0.2,45,150,False,False,False
4457,Queer Irishman Sean: Did ya here the one about the queer Irishman? Brian: No. Sean: Seems he was spotted leaving the pub at 11 o'clock with a girl. Brian: So? Sean: Closing time's one.,1,0.68,0.0,1.3,48,184,False,False,False
