id,text,is_humor,humor_rating,humor_controversy,offense_rating,text_norm,tok_len,char_len,missing_any_label,humor_clip,offense_clip,humor_round,offense_round
5643,wife: Why is 9 crying? me: Because it's raining and he's getting wet wife: But we're at a water park me *takes a drink from my flask* Yep,1,0.7,0.0,0.0,wife: Why is 9 crying? me: Because it's raining and he's getting wet wife: But we're at a water park me *takes a drink from my flask* Yep,40,137,False,0.7,0.0,1,0
5765,Gotta love a little dumpster diving to really thicken the plot! Haha...I kill myself. Wait.,1,0.72,1.0,0.3,Gotta love a little dumpster diving to really thicken the plot! Haha...I kill myself. Wait.,22,91,False,0.72,0.3,1,0
5859,They say life is short but I’ve seen Olympus Has Fallen twice and loved it both times,1,0.69,0.0,0.0,They say life is short but I’ve seen Olympus Has Fallen twice and loved it both times,19,85,False,0.69,0.0,1,0
6138,And Boom...there u have it. Hope y'all enjoyed. Now I'm gonna kill the pizza company. Supernatura I SPN Family,1,0.6,0.0,0.3,And Boom...there u have it. Hope y'all enjoyed. Now I'm gonna kill the pizza company. Supernatura I SPN Family,30,110,False,0.6,0.3,1,0
6170,I was watching one of my old cholo adventures videos and i didn't even laugh once! I laughed a bunch,1,0.8,0.0,0.15,I was watching one of my old cholo adventures videos and i didn't even laugh once! I laughed a bunch,23,100,False,0.8,0.15,1,0
6526,"Drink plenty of water. The most common cause of kidney stones is not drinking enough fluids, especially water. kidney water",1,0.6,0.0,0.0,"Drink plenty of water. The most common cause of kidney stones is not drinking enough fluids, especially water. kidney water",23,123,False,0.6,0.0,1,0
6640,Walking into a fro-yo shop is probably what it's like walking into a Japanese girl's purse.,1,0.68,0.0,1.9,Walking into a fro-yo shop is probably what it's like walking into a Japanese girl's purse.,23,91,False,0.68,1.9,1,2
6696,Reverse 180 what?!!! Yeah...that happened!!! Supernatura I,1,0.1,0.0,0.0,Reverse 180 what?!!! Yeah...that happened!!! Supernatura I,18,58,False,0.1,0.0,0,0
6899,What are some ways that the community can organize to support aging queer elders? Auntie Red Tweet Tea,1,0.5,0.0,0.8,What are some ways that the community can organize to support aging queer elders? Auntie Red Tweet Tea,19,102,False,0.5,0.8,0,1
7160,What does Arnold Schwarzenegger call a colonoscopy? A Cameron Diaz Say It Out Loud,1,0.56,0.0,0.25,What does Arnold Schwarzenegger call a colonoscopy? A Cameron Diaz Say It Out Loud,15,82,False,0.56,0.25,1,0
7321,Right said Fred gets me every time! Haha. You go Deanmon now put a shirt on. What the hell?,1,0.3,0.0,0.0,Right said Fred gets me every time! Haha. You go Deanmon now put a shirt on. What the hell?,23,91,False,0.3,0.0,0,0
7662,"Without fail, Instagram’s “you’re all caught up!” reminder sends deep into a dark place.",1,0.1,0.0,0.0,"Without fail, Instagram’s “you’re all caught up!” reminder sends deep into a dark place.",23,88,False,0.1,0.0,0,0
7704,"My wig, prosthetics, and makeup artist cost $2,000, but with them I can roam the Pasadena Flea Market undisturbed, looking for porcelain hands",1,0.72,0.0,0.25,"My wig, prosthetics, and makeup artist cost $2,000, but with them I can roam the Pasadena Flea Market undisturbed, looking for porcelain hands",30,142,False,0.72,0.25,1,0
7799,Looks like Dean has a nice alliance...or maybe not so nice. Haha. Crap,1,0.67,0.0,0.1,Looks like Dean has a nice alliance...or maybe not so nice. Haha. Crap,19,70,False,0.67,0.1,1,0
7824,"Ah yes...the old ""glass in the face"" trick. Never gets old. Oh and once again. Dean Fight. Supernatura I",1,0.64,1.0,0.0,"Ah yes...the old ""glass in the face"" trick. Never gets old. Oh and once again. Dean Fight. Supernatura I",29,104,False,0.64,0.0,1,0
